Device: cuda

Training GNN-IL — 5 UEs, 2 UAVs, 500 episodes
GNN: hidden=64, out=32  | enriched_dim=43

 Episode     AvgCost        Loss     Eps
------------------------------------------
      25      0.6130      0.4241   0.887
      50      0.6356      0.4615   0.782
      75      0.5764      0.4577   0.690
     100      0.6283      0.4398   0.609
     125      0.6098      0.4717   0.537
     150      0.6341      0.3700   0.474
     175      0.5827      0.3031   0.418
     200      0.6373      0.3506   0.369
     225      0.6221      0.3259   0.325
     250      0.5502      0.4382   0.287
     275      0.6095      0.2975   0.253
