Device: cuda

Training IL — 5 UEs, 2 UAVs, 500 episodes

 Episode     AvgCost        Loss     Eps
------------------------------------------
      25      0.6027      0.4846   0.887
      50      0.6402      0.5362   0.782
      75      0.5742      0.5331   0.690
     100      0.6953      0.4484   0.609
     125      0.7310      0.5183   0.537
     150      0.7050      0.4792   0.474
     175      0.6750      0.4686   0.418
     200      0.6471      0.4396   0.369
     225      0.6677      0.4673   0.325
     250      0.7096      0.4906   0.287
     275      0.5614      0.4379   0.253
     300      0.6430      0.4624   0.223
     325      0.6552      0.4578   0.197
     350      0.5716      0.4715   0.174
     375      0.5650      0.4519   0.153
